rarity_score,shared_title_terms,desc_similarity,career_a,primary_a,secondary_a,career_b,primary_b,secondary_b,salary_a,salary_b
13.57,animator character,0.258,Character Animator,Design & Creative,"Media & Journalism,Tech & Engineering",3D Animator (Character),Gaming & Esports,"Tech & Engineering,Marketing & Communications,Media & Journalism",$50k–$95k,$55k–$95k
13.57,animator character,0.219,3D Animator (Character),Gaming & Esports,"Tech & Engineering,Marketing & Communications,Media & Journalism",Character Animator (Film & TV),Arts & Performance,"Design & Creative,Tech & Engineering",$55k–$95k,$50k–$95k
13.55,iot solutions,0.321,IoT Solutions Engineer,Tech & Engineering,"Business & Finance,Science & Research",IoT Solutions Architect,Architecture & Urban Planning,"Design & Creative,Environment & Sustainability,Cybersecurity",$65k–$120k,$75k–$140k
13.52,care wound,0.448,Wound Care Specialist Nurse,Healthcare & Medicine,"Science & Research,Education & Coaching",Wound Care Specialist,Hospitality & Events,"Food & Culinary,Marketing & Communications",$60k–$85k,$45k–$75k
13.52,care wound,0.323,Wound Care Nurse Specialist,Healthcare & Medicine,"Education & Coaching,Science & Research",Wound Care Specialist,Hospitality & Events,"Food & Culinary,Marketing & Communications",$30k–$45k,$45k–$75k
13.52,artificial intelligence,0.029,Artificial Intelligence Researcher,Aviation & Transportation,"Tech & Engineering,Science & Research,Cybersecurity",Artificial Intelligence Startup Founder,Entrepreneurship,"Tech & Engineering,Business & Finance",$80k–$160k,$0–$500k+
13.49,control pollution,0.231,Pollution Control Specialist,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",Pollution Control Engineer,Environment & Sustainability,"Science & Research,Law & Government,Tech & Engineering",$48k–$77k,$60k–$105k
13.47,influencer media social,0.357,Social Media Influencer Entrepreneur,Marketing & Communications,"Business & Finance,Design & Creative,Media & Journalism",Niche Social Media Creator (Micro-Influencer),Entrepreneurship,"Media & Journalism,Design & Creative",$0–$500k+,$20k–$150k
13.46,pop shop,0.147,Pop-Up Shop Operator,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",Pop-Up Shop Creator,Entrepreneurship,"Design & Creative,Hospitality & Events",$35k–$75k,$35k–$85k
13.46,pop shop,0.258,Pop-Up Shop Operator,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",Pop-up Shop Curator,Entrepreneurship,"Design & Creative,Hospitality & Events",$35k–$75k,$45k–$75k
13.46,pop shop,0.333,Pop-Up Shop Operator,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",Pop-Up Shop Entrepreneur,Entrepreneurship,"Design & Creative,Fashion & Beauty",$35k–$75k,$20k–$150k
13.46,etsy store,0.323,Etsy Store Optimizer (E-Commerce Consultant),Entrepreneurship,"Business & Finance,Design & Creative",Etsy Store Scale-Up Specialist,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",$45k–$85k,$45k–$85k
13.44,cloud solutions,0.114,Cloud Solutions Engineer,Tech & Engineering,"Business & Finance,Science & Research",Cloud Solutions Architect,Architecture & Urban Planning,"Design & Creative,Environment & Sustainability",$75k–$140k,$30k–$45k
13.37,casino host,0.207,Casino Host Manager,Hospitality & Events,"Business & Finance,Law & Government",Casino Host,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",$35k–$65k,$30k–$45k
13.36,media niche social,0.216,Niche Social Media Brand Owner,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Niche Social Media Creator (Micro-Influencer),Entrepreneurship,"Media & Journalism,Design & Creative",$20k–$150k,$20k–$150k
13.36,emergency room,0.028,Emergency Room Nurse,Healthcare & Medicine,"Education & Coaching,Social Impact & Nonprofit",Emergency Room Physician,Cybersecurity,"Tech & Engineering,Law & Government,Science & Research",$55k–$85k,$100k–$200k
13.36,emergency room,0.083,Emergency Room Physician,Cybersecurity,"Tech & Engineering,Law & Government,Science & Research",Emergency Room Technician,Healthcare & Medicine,"Science & Research,Social Impact & Nonprofit",$100k–$200k,$30k–$50k
13.36,goods leather,0.179,Luxury Leather Goods Designer,Fashion & Beauty,"Design & Creative,Entrepreneurship",Leather Goods Designer,Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",$50k–$95k,$45k–$75k
13.36,goods leather,0.222,Leather Goods Craftsperson,Fashion & Beauty,"Design & Creative,Entrepreneurship",Leather Goods Designer,Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",$32k–$65k,$45k–$75k
13.33,agency media social,0.182,Social Media Manager (Agency),Media & Journalism,"Design & Creative,Business & Finance",Social Media Agency Owner,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",$45k–$75k,$45k–$120k
13.33,agency media social,0.296,Social Media Agency Owner,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",Social Media Management Agency Owner,Entrepreneurship,"Media & Journalism,Design & Creative",$45k–$120k,$45k–$120k
13.33,agency media social,0.179,Social Media Agency Owner,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",Social Media Management Agency Founder,Entrepreneurship,"Media & Journalism,Design & Creative",$45k–$120k,$45k–$120k
13.33,cannabis licensed,0.48,Licensed Cannabis Operator,Entrepreneurship,"Business & Finance,Law & Government",Licensed Cannabis Producer,Marketing & Communications,"Business & Finance,Design & Creative,Law & Government",$50k–$150k,$65k–$150k
13.28,actor voice,0.081,Voice Actor (Animation & Games),Arts & Performance,"Media & Journalism,Tech & Engineering",Voice Actor,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Media & Journalism",$35k–$85k,$35k–$90k
13.28,actor voice,0.176,Voice Actor (Animation),Arts & Performance,"Media & Journalism,Design & Creative",Voice Actor,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Media & Journalism",$45k–$85k,$35k–$90k
13.21,department state,0.148,State Department Diplomat,Law & Government,"Business & Finance,Education & Coaching",Diplomatic Aide (U.S. State Department),Hospitality & Events,"Food & Culinary,Marketing & Communications,Science & Research",$55k–$120k,$35k–$65k
13.21,consulting firm,0.121,Niche Consulting Firm Founder,Entrepreneurship,"Business & Finance,Design & Creative",Consulting Firm Owner,Hospitality & Events,"Food & Culinary,Marketing & Communications,Architecture & Urban Planning",$50k–$150k,$50k–$200k+
13.21,consulting firm,0.207,Consulting Firm Owner,Hospitality & Events,"Food & Culinary,Marketing & Communications,Architecture & Urban Planning",Consulting Firm Founder,Entrepreneurship,"Business & Finance,Tech & Engineering",$50k–$200k+,$70k–$150k
13.21,consulting firm,0.118,Consulting Firm Owner,Hospitality & Events,"Food & Culinary,Marketing & Communications,Architecture & Urban Planning",Niche Consulting Firm Owner,Entrepreneurship,"Business & Finance,Design & Creative",$50k–$200k+,$65k–$150k
13.19,art handler,0.171,Art Handler (Museum/Gallery),Arts & Performance,"Hospitality & Events,Education & Coaching",Art Handler,Sports & Fitness,"Healthcare & Medicine,Marketing & Communications,Science & Research",$28k–$50k,$32k–$55k
13.19,bond municipal,0.171,Municipal Bond Lawyer,Law & Government,"Business & Finance,Social Impact & Nonprofit",Municipal Bond Trader,Education & Coaching,"Social Impact & Nonprofit,Tech & Engineering,Science & Research",$85k–$175k,$30k–$45k
13.19,bond municipal,0.321,Municipal Bond Advisor,Business & Finance,"Law & Government,Entrepreneurship",Municipal Bond Trader,Education & Coaching,"Social Impact & Nonprofit,Tech & Engineering,Science & Research",$60k–$120k,$30k–$45k
13.19,bond municipal,0.176,Municipal Bond Advisor,Business & Finance,"Law & Government,Entrepreneurship",Municipal Bond Attorney,Education & Coaching,"Social Impact & Nonprofit,Tech & Engineering,Law & Government",$60k–$120k,$85k–$175k
13.15,restorer vintage,0.435,Vintage Clothing Restorer,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",Vintage Fashion Restorer,Fashion & Beauty,"Design & Creative,Arts & Performance",$28k–$55k,$32k–$55k
13.13,etsy shop,0.121,Etsy Vintage Shop Owner,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Social Impact & Nonprofit",Etsy Shop Owner (Handmade),Entrepreneurship,"Design & Creative,Fashion & Beauty",$25k–$80k,$25k–$80k
13.13,etsy shop,0.3,Etsy Shop Owner,Marketing & Communications,"Business & Finance,Design & Creative,Media & Journalism",Etsy Shop Owner (Handmade),Entrepreneurship,"Design & Creative,Fashion & Beauty",$25k–$80k,$25k–$80k
13.11,access advocate,0.161,Healthcare Access Advocate,Social Impact & Nonprofit,"Law & Government,Education & Coaching",Education Access Advocate,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Architecture & Urban Planning",$42k–$70k,$45k–$75k
13.09,human trafficking,0.391,Human Trafficking Advocate,Social Impact & Nonprofit,"Law & Government,Healthcare & Medicine",Human Trafficking Prevention Coordinator,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Cybersecurity",$45k–$75k,$40k–$65k
13.09,human trafficking,0.24,Human Trafficking Prevention Coordinator,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Cybersecurity",Anti-Human Trafficking Advocate,Social Impact & Nonprofit,"Law & Government,Education & Coaching",$40k–$65k,$45k–$75k
13.09,human trafficking,0.133,Human Trafficking Prevention Coordinator,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Cybersecurity",Human Trafficking Survivor Advocate,Social Impact & Nonprofit,"Law & Government,Healthcare & Medicine",$40k–$65k,$35k–$55k
13.09,bureau convention,0.364,Convention & Visitors Bureau Director,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Convention & Visitor Bureau Manager,Hospitality & Events,"Business & Finance,Media & Journalism",$45k–$75k,$45k–$75k
13.09,bureau convention,0.32,Convention & Visitors Bureau Director,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Convention & Visitor Bureau Director,Hospitality & Events,"Business & Finance,Media & Journalism",$45k–$75k,$45k–$75k
13.09,bureau convention,0.148,Convention and Visitors Bureau Director,Hospitality & Events,"Business & Finance,Media & Journalism",Convention and Visitor Bureau Manager,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",$45k–$75k,$45k–$75k
13.09,bureau convention,0.185,Convention & Visitors Bureau Manager,Hospitality & Events,"Business & Finance,Law & Government",Convention and Visitor Bureau Manager,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",$45k–$75k,$45k–$75k
13.07,deal licensing,0.333,Licensing Deal Specialist,Entrepreneurship,"Business & Finance,Design & Creative",Licensing Deal Broker,Marketing & Communications,"Business & Finance,Design & Creative,Media & Journalism",$60k–$110k,$65k–$120k
13.07,deal licensing,0.25,Licensing Deal Negotiator,Entrepreneurship,"Business & Finance,Law & Government",Licensing Deal Broker,Marketing & Communications,"Business & Finance,Design & Creative,Media & Journalism",$65k–$125k,$65k–$120k
13.07,deal licensing,0.3,Licensing Deal Broker,Marketing & Communications,"Business & Finance,Design & Creative,Media & Journalism",Licensing Deal Manager,Entrepreneurship,"Business & Finance,Media & Journalism",$65k–$120k,$60k–$95k
13.06,debris marine,0.073,Marine Debris Removal Specialist,Environment & Sustainability,"Science & Research,Social Impact & Nonprofit",Marine Debris Specialist,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",$40k–$65k,$45k–$75k
13.06,debris marine,0.056,Marine Debris Management Specialist,Environment & Sustainability,"Science & Research,Social Impact & Nonprofit",Marine Debris Specialist,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",$45k–$75k,$45k–$75k
13.06,debris marine,0.105,Marine Debris Analyst,Environment & Sustainability,"Science & Research,Social Impact & Nonprofit",Marine Debris Specialist,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",$45k–$75k,$45k–$75k
13.06,debris marine,0.079,Marine Debris Researcher,Environment & Sustainability,"Science & Research,Law & Government",Marine Debris Specialist,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",$45k–$75k,$45k–$75k
13.03,decorator set,0.32,Set Decorator,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Architecture & Urban Planning",Set Decorator (Film & Television),Design & Creative,"Arts & Performance,Hospitality & Events",$35k–$65k,$35k–$75k
13.01,dietitian registered,0.367,Registered Dietitian Nutritionist,Healthcare & Medicine,"Education & Coaching,Science & Research",Registered Dietitian,Food & Culinary,"Hospitality & Events,Business & Finance,Arts & Performance",$60k–$85k,$45k–$68k
13.01,dietitian registered,0.075,Registered Dietitian Nutritionist,Healthcare & Medicine,"Education & Coaching,Science & Research",Sports Registered Dietitian,Food & Culinary,"Hospitality & Events,Business & Finance,Science & Research",$60k–$85k,$45k–$75k
13.01,dietitian registered,0.077,Registered Dietitian (Sports Nutrition),Healthcare & Medicine,"Sports & Fitness,Education & Coaching",Registered Dietitian,Food & Culinary,"Hospitality & Events,Business & Finance,Arts & Performance",$48k–$77k,$45k–$68k
13.01,dietitian registered,0.081,Sports Nutrition Registered Dietitian,Healthcare & Medicine,"Sports & Fitness,Education & Coaching",Registered Dietitian,Food & Culinary,"Hospitality & Events,Business & Finance,Arts & Performance",$58k–$95k,$45k–$68k
13.01,dietitian registered,0.2,Registered Dietitian,Food & Culinary,"Hospitality & Events,Business & Finance,Arts & Performance",Nutritionist (Registered Dietitian),Healthcare & Medicine,"Education & Coaching,Sports & Fitness",$45k–$68k,$60k–$85k
13.01,dietitian registered,0.1,Nutritionist (Registered Dietitian),Healthcare & Medicine,"Education & Coaching,Sports & Fitness",Sports Registered Dietitian,Food & Culinary,"Hospitality & Events,Business & Finance,Science & Research",$60k–$85k,$45k–$75k
13.01,augmented reality,0.226,Augmented Reality Experience Designer,Design & Creative,"Tech & Engineering,Media & Journalism",Augmented Reality (AR) Designer,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",$60k–$110k,$65k–$120k
13.01,augmented reality,0.219,Augmented Reality Experience Designer,Design & Creative,"Tech & Engineering,Media & Journalism",Augmented Reality Developer,Hospitality & Events,"Food & Culinary,Marketing & Communications,Architecture & Urban Planning",$60k–$110k,$70k–$130k
13.01,augmented reality,0.182,Augmented Reality (AR) Designer,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Augmented Reality Designer,Design & Creative,"Tech & Engineering,Media & Journalism",$65k–$120k,$60k–$95k
13.01,augmented reality,0.423,Augmented Reality (AR) Designer,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Augmented Reality Developer,Hospitality & Events,"Food & Culinary,Marketing & Communications,Architecture & Urban Planning",$65k–$120k,$70k–$130k
13.01,augmented reality,0.176,Augmented Reality Designer,Design & Creative,"Tech & Engineering,Media & Journalism",Augmented Reality Developer,Hospitality & Events,"Food & Culinary,Marketing & Communications,Architecture & Urban Planning",$60k–$95k,$70k–$130k
13.01,augmented reality,0.162,Augmented Reality Developer,Hospitality & Events,"Food & Culinary,Marketing & Communications,Architecture & Urban Planning",Augmented Reality Engineer,Tech & Engineering,"Design & Creative,Media & Journalism",$70k–$130k,$70k–$130k
12.99,esports tournament,0.088,Esports Coach (Tournament Strategy),Education & Coaching,"Sports & Fitness,Tech & Engineering",Esports Tournament Organizer,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Media & Journalism",$45k–$85k,$45k–$85k
12.99,authenticator vintage,0.276,Vintage Apparel Authenticator,Fashion & Beauty,"Design & Creative,Entrepreneurship",Vintage Fashion Authenticator,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",$45k–$75k,$45k–$75k
12.99,authenticator vintage,0.152,Vintage Clothing Authenticator,Fashion & Beauty,"Design & Creative,Entrepreneurship",Vintage Fashion Authenticator,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",$45k–$75k,$45k–$75k
12.98,box subscription,0.077,Niche Subscription Box Entrepreneur,Entrepreneurship,"Design & Creative,Business & Finance",Subscription Box Creator,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Architecture & Urban Planning",$40k–$120k,$30k–$100k
12.98,box subscription,0.31,Subscription Box Creator,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Architecture & Urban Planning",Subscription Box Entrepreneur,Entrepreneurship,"Design & Creative,Business & Finance",$30k–$100k,$40k–$120k
12.96,media news social,0.25,Social Media Editor (News Organization),Media & Journalism,"Design & Creative,Tech & Engineering",Social Media Manager (News),Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",$40k–$65k,$40k–$65k
12.96,media news social,0.235,Social Media Content Creator (News),Media & Journalism,"Design & Creative,Tech & Engineering",Social Media Manager (News),Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",$35k–$65k,$40k–$65k
12.96,media news social,0.206,Social Media Analyst (News),Media & Journalism,"Tech & Engineering,Business & Finance",Social Media Manager (News),Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",$45k–$75k,$40k–$65k
12.96,media news social,0.593,Social Media Manager (News Org),Media & Journalism,"Design & Creative,Business & Finance",Social Media Manager (News),Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",$35k–$65k,$40k–$65k
12.96,media news social,0.367,Social Media Manager (News Organizations),Media & Journalism,"Design & Creative,Business & Finance",Social Media Manager (News),Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",$40k–$65k,$40k–$65k
12.96,media news social,0.242,Social Media Manager (News Organization),Media & Journalism,"Tech & Engineering,Design & Creative",Social Media Manager (News),Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",$40k–$65k,$40k–$65k
12.96,media news social,0.355,Social Media Strategist (News Organization),Media & Journalism,"Business & Finance,Design & Creative",Social Media Manager (News),Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",$45k–$75k,$40k–$65k
12.96,media news social,0.179,Social Media Strategist (News Org),Media & Journalism,"Tech & Engineering,Business & Finance",Social Media Manager (News),Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",$45k–$75k,$40k–$65k
12.96,media news social,0.235,Social Media Manager (News),Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",Social Media Manager (News Outlet),Media & Journalism,"Design & Creative,Business & Finance",$40k–$65k,$40k–$65k
12.96,media news social,0.171,Social Media Manager (News),Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",Social Media Strategist (News Organizations),Media & Journalism,"Design & Creative,Tech & Engineering",$40k–$65k,$45k–$75k
12.96,media news social,0.344,Social Media Manager (News),Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",Social Media Strategist (News),Media & Journalism,"Business & Finance,Design & Creative",$40k–$65k,$45k–$75k
12.92,advertising copywriter,0.242,Copywriter (Advertising Agency),Media & Journalism,"Design & Creative,Business & Finance",Copywriter (Advertising),Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",$45k–$85k,$45k–$85k
12.88,brand fashion sustainable,0.25,Sustainable Fashion Brand Manager,Fashion & Beauty,"Entrepreneurship,Environment & Sustainability",Sustainable Fashion Brand Founder,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",$50k–$85k,$45k–$150k
12.88,brand fashion sustainable,0.071,Sustainable Fashion Brand Strategist,Fashion & Beauty,"Entrepreneurship,Environment & Sustainability",Sustainable Fashion Brand Founder,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",$58k–$95k,$45k–$150k
12.88,brand fashion sustainable,0.108,Sustainable Fashion Brand Consultant,Fashion & Beauty,"Environment & Sustainability,Business & Finance",Sustainable Fashion Brand Founder,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",$60k–$95k,$45k–$150k
12.88,brand fashion sustainable,0.167,Sustainable Fashion Brand Developer,Fashion & Beauty,"Entrepreneurship,Environment & Sustainability",Sustainable Fashion Brand Founder,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",$50k–$85k,$45k–$150k
12.88,brand fashion sustainable,0.222,Sustainable Fashion Brand Founder,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",Sustainable Fashion Brand Owner,Fashion & Beauty,"Entrepreneurship,Design & Creative",$45k–$150k,$45k–$120k
12.84,editor media social,0.216,Social Media Editor (News Organization),Media & Journalism,"Design & Creative,Tech & Engineering",Social Media Editor,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",$40k–$65k,$40k–$65k
12.81,environment game,0.286,Game Environment Designer,Design & Creative,"Tech & Engineering,Arts & Performance",Game Environment Artist,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",$55k–$95k,$55k–$95k
12.77,animal veterinarian,0.059,Large Animal Veterinarian,Hospitality & Events,"Food & Culinary,Marketing & Communications",Lab Animal Veterinarian,Science & Research,"Healthcare & Medicine,Education & Coaching",$78k–$126k,$45k–$75k
12.77,animal veterinarian,0.088,Large Animal Veterinarian,Hospitality & Events,"Food & Culinary,Marketing & Communications",Laboratory Animal Veterinarian,Science & Research,"Healthcare & Medicine,Education & Coaching",$78k–$126k,$60k–$95k
12.76,bank food,0.212,Food Bank Operations Manager,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Food & Culinary",Food Bank Director,Social Impact & Nonprofit,"Education & Coaching,Law & Government",$48k–$72k,$45k–$70k
12.76,food truck,0.108,Food Truck Owner,Marketing & Communications,"Business & Finance,Design & Creative,Media & Journalism",Food Truck Owner (Specialty Cuisine),Entrepreneurship,"Hospitality & Events,Business & Finance",$30k–$100k,$35k–$75k
12.76,food truck,0.2,Food Truck Owner (Specialty Cuisine),Entrepreneurship,"Hospitality & Events,Business & Finance",Food Truck Operator,Marketing & Communications,"Business & Finance,Design & Creative,Media & Journalism",$35k–$75k,$35k–$75k
12.74,aide state,0.12,State Representative Aide,Law & Government,"Media & Journalism,Social Impact & Nonprofit",Diplomatic Aide (U.S. State Department),Hospitality & Events,"Food & Culinary,Marketing & Communications,Science & Research",$32k–$55k,$35k–$65k
12.74,aide state,0.062,Diplomatic Aide (U.S. State Department),Hospitality & Events,"Food & Culinary,Marketing & Communications,Science & Research",State Representative Legislative Aide,Law & Government,"Media & Journalism,Business & Finance",$35k–$65k,$35k–$55k
12.74,clothing vintage,0.059,Vintage Clothing Authenticator,Fashion & Beauty,"Design & Creative,Entrepreneurship",Vintage Clothing Restorer,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",$45k–$75k,$28k–$55k
12.74,clothing vintage,0.029,Vintage Clothing Restorer,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",Vintage Clothing Authentication Specialist,Fashion & Beauty,"Business & Finance,Design & Creative",$28k–$55k,$45k–$75k
12.74,agriculture regenerative,0.333,Regenerative Agriculture Manager,Environment & Sustainability,"Science & Research,Education & Coaching",Regenerative Agriculture Specialist,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",$50k–$85k,$45k–$75k
12.74,agriculture regenerative,0.296,Regenerative Agriculture Manager,Environment & Sustainability,"Science & Research,Education & Coaching",Regenerative Agriculture Farmer,Food & Culinary,"Hospitality & Events,Business & Finance,Science & Research",$50k–$85k,$35k–$75k
12.74,agriculture regenerative,0.458,Regenerative Agriculture Coordinator,Environment & Sustainability,"Science & Research,Education & Coaching",Regenerative Agriculture Specialist,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",$45k–$75k,$45k–$75k
12.74,agriculture regenerative,0.259,Regenerative Agriculture Coordinator,Environment & Sustainability,"Science & Research,Education & Coaching",Regenerative Agriculture Farmer,Food & Culinary,"Hospitality & Events,Business & Finance,Science & Research",$45k–$75k,$35k–$75k
12.74,agriculture regenerative,0.111,Regenerative Agriculture Advisor,Environment & Sustainability,"Science & Research,Education & Coaching",Regenerative Agriculture Specialist,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",$45k–$75k,$45k–$75k
12.74,agriculture regenerative,0.083,Regenerative Agriculture Advisor,Environment & Sustainability,"Science & Research,Education & Coaching",Regenerative Agriculture Farmer,Food & Culinary,"Hospitality & Events,Business & Finance,Science & Research",$45k–$75k,$35k–$75k
12.74,agriculture regenerative,0.139,Regenerative Agriculture Technician,Environment & Sustainability,"Education & Coaching,Science & Research",Regenerative Agriculture Specialist,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",$35k–$55k,$45k–$75k
12.74,agriculture regenerative,0.081,Regenerative Agriculture Technician,Environment & Sustainability,"Education & Coaching,Science & Research",Regenerative Agriculture Farmer,Food & Culinary,"Hospitality & Events,Business & Finance,Science & Research",$35k–$55k,$35k–$75k
12.74,agriculture regenerative,0.133,Regenerative Agriculture Business Owner,Entrepreneurship,"Environment & Sustainability,Business & Finance",Regenerative Agriculture Specialist,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",$45k–$120k,$45k–$75k
12.74,agriculture regenerative,0.1,Regenerative Agriculture Business Owner,Entrepreneurship,"Environment & Sustainability,Business & Finance",Regenerative Agriculture Farmer,Food & Culinary,"Hospitality & Events,Business & Finance,Science & Research",$45k–$120k,$35k–$75k
12.74,agriculture regenerative,0.172,Regenerative Agriculture Consultant,Environment & Sustainability,"Science & Research,Law & Government,Tech & Engineering",Regenerative Agriculture Specialist,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",$50k–$85k,$45k–$75k
12.74,agriculture regenerative,0.138,Regenerative Agriculture Consultant,Environment & Sustainability,"Science & Research,Law & Government,Tech & Engineering",Regenerative Agriculture Farmer,Food & Culinary,"Hospitality & Events,Business & Finance,Science & Research",$50k–$85k,$35k–$75k
12.74,agriculture regenerative,0.231,Regenerative Agriculture Specialist,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Regenerative Agriculture Entrepreneur,Environment & Sustainability,"Business & Finance,Science & Research",$45k–$75k,$45k–$120k
12.74,agriculture regenerative,0.346,Regenerative Agriculture Specialist,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Regenerative Agriculture Farmer,Food & Culinary,"Hospitality & Events,Business & Finance,Science & Research",$45k–$75k,$35k–$75k
12.74,agriculture regenerative,0.24,Regenerative Agriculture Entrepreneur,Environment & Sustainability,"Business & Finance,Science & Research",Regenerative Agriculture Farmer,Food & Culinary,"Hospitality & Events,Business & Finance,Science & Research",$45k–$120k,$35k–$75k
12.72,painter scenic,0.175,Scenic Painter (Film & TV),Arts & Performance,"Design & Creative,Hospitality & Events",Scenic Painter,Sports & Fitness,"Healthcare & Medicine,Marketing & Communications,Science & Research",$35k–$65k,$32k–$65k
12.72,painter scenic,0.093,Scenic Painter (Theater),Arts & Performance,"Design & Creative,Hospitality & Events",Scenic Painter,Sports & Fitness,"Healthcare & Medicine,Marketing & Communications,Science & Research",$32k–$65k,$32k–$65k
12.72,painter scenic,0.122,Scenic Painter (Theater & Film),Arts & Performance,"Design & Creative,Hospitality & Events",Scenic Painter,Sports & Fitness,"Healthcare & Medicine,Marketing & Communications,Science & Research",$35k–$65k,$32k–$65k
12.69,carbon offset,0.171,Carbon Offset Marketplace Founder,Entrepreneurship,"Environment & Sustainability,Business & Finance",Carbon Offset Project Manager,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",$45k–$150k,$58k–$95k
12.69,carbon offset,0.143,Forest Carbon Offset Manager,Environment & Sustainability,"Science & Research,Business & Finance",Carbon Offset Project Manager,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",$52k–$85k,$58k–$95k
12.69,carbon offset,0.194,Carbon Offset Developer,Environment & Sustainability,"Business & Finance,Science & Research",Carbon Offset Project Manager,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",$58k–$95k,$58k–$95k
12.69,carbon offset,0.114,Carbon Offset Auditor,Environment & Sustainability,"Business & Finance,Law & Government",Carbon Offset Project Manager,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",$55k–$90k,$58k–$95k
12.69,carbon offset,0.083,Carbon Offset Project Manager,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",Carbon Offset Platform Founder,Environment & Sustainability,"Tech & Engineering,Business & Finance",$58k–$95k,$65k–$150k
